Lot Area,Overall Cond,Year Built,Gr Liv Area,TotRms AbvGrd,Mo Sold,Yr Sold,Bldg Type,Neighborhood,SalePrice
10738,6,1954,1457,5,8,2009,1Fam,NAmes,132661
13835,4,1989,1792,6,3,2006,1Fam,NridgHt,372144
9667,5,1997,1103,6,5,2010,1Fam,SawyerW,150786
10699,6,2000,1671,6,4,2009,1Fam,CollgCr,211081
14033,4,1992,1357,5,10,2009,1Fam,Mitchel,142802
57105,5,1943,1696,7,6,2010,1Fam,Timber,158844
8331,7,1948,1358,5,6,2008,1Fam,Sawyer,151347
6013,6,1936,1419,5,5,2009,1Fam,BrkSide,131949
5230,5,1918,767,3,6,2008,1Fam,OldTown,73110
6990,4,1969,1058,3,6,2010,Duplex,OldTown,143698
7149,5,1954,1036,6,6,2009,Duplex,NAmes,90164
7186,5,1940,1353,6,2,2007,1Fam,NAmes,129971
7833,5,1957,917,5,11,2006,1Fam,NAmes,115053
9528,4,1969,1171,5,7,2006,1Fam,NWAmes,139133
10422,5,2011,1995,8,7,2007,1Fam,CollgCr,306651
1471,9,1982,1090,6,3,2008,Twnhs,MeadowV,97335
11485,5,1991,1843,8,9,2006,1Fam,Timber,359106
10871,4,1948,1245,5,5,2008,1Fam,NAmes,155942
11229,5,1994,1936,6,11,2006,1Fam,Gilbert,228737
12719,4,2021,1817,7,9,2007,1Fam,Timber,392456
10084,4,2005,1918,7,2,2006,1Fam,SawyerW,218567
7616,4,1989,1583,6,3,2006,1Fam,SawyerW,183555
17581,4,1915,878,4,4,2006,1Fam,Sawyer,104947
9676,5,1991,1096,6,5,2010,1Fam,SawyerW,152998
18018,5,1961,1122,6,3,2007,1Fam,Gilbert,155014
2388,4,2001,1084,4,6,2010,TwnhsE,Somerst,146242
23938,7,1936,2416,9,6,2010,1Fam,ClearCr,243527
7854,7,1975,899,5,6,2009,1Fam,Sawyer,130953
8398,8,1973,986,5,11,2008,1Fam,CollgCr,149713
12121,5,1977,1421,7,6,2008,1Fam,NWAmes,174892
15410,5,1989,1754,6,8,2009,1Fam,CollgCr,233150
1882,6,1973,627,3,6,2008,Twnhs,MeadowV,80880
10346,9,1903,1782,7,5,2007,1Fam,OldTown,186343
3166,5,2010,1193,4,4,2006,TwnhsE,Somerst,144927
10565,4,1981,1144,6,7,2009,Duplex,Edwards,160786
8266,4,1986,1902,7,7,2008,1Fam,Gilbert,228113
13500,6,1941,1731,6,7,2009,1Fam,NAmes,178225
3083,5,2013,1556,7,9,2006,TwnhsE,Blmngtn,226681
12701,4,1978,869,4,4,2008,1Fam,NAmes,111101
3010,4,1993,1257,5,3,2006,TwnhsE,Blmngtn,167401
3481,7,1955,1277,4,4,2009,1Fam,OldTown,109533
11467,4,2004,2084,5,6,2008,1Fam,OldTown,199441
9102,5,1998,1489,6,7,2007,1Fam,Gilbert,165002
8692,4,2015,1863,6,7,2009,1Fam,Somerst,254343
11772,4,1963,1553,6,5,2006,1Fam,Edwards,181657
6576,6,1956,1065,5,8,2007,1Fam,IDOTRR,140244
11971,5,1964,1380,5,6,2008,1Fam,NAmes,166938
10259,4,2011,1548,6,6,2007,1Fam,Gilbert,176001
9961,4,2011,2076,8,5,2006,1Fam,NridgHt,340020
10068,5,1943,1371,5,2,2006,1Fam,NAmes,147652
9698,7,1948,1000,5,10,2006,1Fam,NAmes,134668
8117,6,1964,864,5,4,2006,1Fam,Edwards,114660
11229,4,2010,2516,10,6,2008,1Fam,StoneBr,323425
9327,6,1954,978,4,8,2006,1Fam,NAmes,157112
14680,5,1996,1873,6,6,2006,1Fam,NridgHt,415622
12324,4,2002,1944,7,11,2006,1Fam,NridgHt,359441
7178,6,1922,1761,7,6,2007,1Fam,SWISU,175590
7323,4,1989,2507,8,11,2009,TwnhsE,StoneBr,377199
8130,4,1986,1469,7,10,2008,1Fam,Gilbert,165408
9076,5,1925,1119,5,3,2008,1Fam,Edwards,94488
12212,7,1955,1277,5,9,2009,1Fam,NAmes,133271
6117,8,1911,1506,8,5,2007,1Fam,BrkSide,137382
4766,4,2007,1644,5,7,2008,TwnhsE,Somerst,300851
9902,8,1907,1457,7,3,2009,1Fam,OldTown,128941
11232,7,1976,1010,4,3,2010,1Fam,NAmes,149883
16336,4,2017,1113,4,4,2007,1Fam,Gilbert,189210
7005,5,1997,1368,5,6,2006,TwnhsE,NridgHt,184382
3922,5,1984,2403,6,2,2008,TwnhsE,Somerst,342782
3782,4,2010,1446,5,9,2009,TwnhsE,Somerst,157092
4447,4,1907,1026,4,2,2007,1Fam,OldTown,89672
3975,4,2014,1560,7,10,2006,TwnhsE,Blmngtn,266656
8314,5,1980,863,5,12,2009,1Fam,Sawyer,62543
13161,5,2000,1115,6,8,2009,1Fam,SawyerW,141630
8674,4,2008,1545,6,8,2009,1Fam,Somerst,234566
15666,4,1951,2070,8,10,2009,1Fam,ClearCr,164314
12360,4,1960,1421,5,8,2007,1Fam,NAmes,140874
12297,4,2011,2554,9,7,2007,1Fam,StoneBr,351941
